key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
/',-1.411593,61.494707,0.214286,0.305773,859.5,0.058938,0.455516,0.030612,0.305773,0.425735
"/,",-0.957513,85.883642,0.714286,0.816773,859.5,0.361658,0.636175,0.102041,0.816773,0.425735
/.,-1.026304,85.883642,0.642857,0.843091,859.5,0.315798,0.636175,0.091837,0.843091,0.425735
//,-0.947762,42.941821,0.428571,0.434,1063.555315,0.368159,0.318088,0.061224,0.434,0.725817
/;,-1.082689,42.941821,0.285714,0.374545,859.5,0.278207,0.318088,0.040816,0.374545,0.425735
/A,-0.553769,42.941821,0.785714,0.867909,859.5,0.63082,0.318088,0.112245,0.867909,0.425735
/B,-0.803329,112.281564,0.714286,0.799136,945.7,0.464448,0.831715,0.102041,0.799136,0.5525
/C,-0.760624,85.883642,0.785714,0.867909,859.5,0.492917,0.636175,0.112245,0.867909,0.425735
/D,-0.488106,42.941821,0.857143,0.909727,865.9,0.674596,0.318088,0.122449,0.909727,0.435147
/E,-0.555799,82.235587,0.785714,0.889364,885.294905,0.629467,0.609152,0.112245,0.889364,0.463669
/F,-0.415615,42.941821,0.857143,0.921545,904.0,0.722923,0.318088,0.122449,0.921545,0.491176
/G,-0.803329,80.941821,0.785714,0.799136,702.5,0.464448,0.599569,0.112245,0.799136,0.194853
/H,-1.411593,80.941821,0.642857,0.612591,859.5,0.058938,0.599569,0.091837,0.612591,0.425735
/I,-1.208647,82.235587,0.571429,0.582545,704.797259,0.194235,0.609152,0.081633,0.582545,0.198231
/J,-0.7701,42.941821,0.714286,0.735,904.0,0.4866,0.318088,0.102041,0.735,0.491176
/K,-0.890843,42.941821,0.714286,0.723182,859.5,0.406104,0.318088,0.102041,0.723182,0.425735
/L,-1.007587,42.941821,0.5,0.702818,871.0,0.328276,0.318088,0.071429,0.702818,0.442647
/M,-0.80528,85.883642,0.714286,0.831136,885.998089,0.463147,0.636175,0.102041,0.831136,0.464703
/N,-1.411593,84.989413,0.642857,0.748,886.9,0.058938,0.629551,0.091837,0.748,0.466029
/O,-1.306993,82.235587,0.357143,0.566727,892.6,0.128671,0.609152,0.05102,0.566727,0.474412
/P,-1.411593,81.97119,0.142857,0.229455,859.5,0.058938,0.607194,0.020408,0.229455,0.425735
/Q,-0.743514,82.235587,0.714286,0.843091,877.9,0.504324,0.609152,0.102041,0.843091,0.452794
/R,-0.555799,82.235587,0.785714,0.882273,875.530298,0.629467,0.609152,0.112245,0.882273,0.449309
/S,-0.521869,42.941821,0.785714,0.889364,870.002613,0.652087,0.318088,0.112245,0.889364,0.44118
/T,-0.803329,90.143516,0.714286,0.799136,859.5,0.464448,0.66773,0.102041,0.799136,0.425735
/U,-1.156305,82.235587,0.571429,0.575455,873.1,0.22913,0.609152,0.081633,0.575455,0.445735
/V,-0.652689,85.883642,0.785714,0.882273,894.1,0.564874,0.636175,0.112245,0.882273,0.476618
