key_triple,engram6_score
'QK,4.333333333333333
'QL,4.003333333333333
'QM,4.166666666666667
'QN,3.66
'QO,3.67
'QP,2.67
'QQ,2.17
'QR,3.75
'QS,3.5033333333333334
'QT,3.41
'QU,4.0
'QV,3.6666666666666665
'QW,3.67
'QX,2.92
'QY,3.66
'QZ,1.8366666666666667
'Q[,2.33
'R',3.66
"'R,",4.34
'R.,4.0
'R/,4.166666666666667
'R;,4.333333333333333
'RA,3.5833333333333335
'RB,2.0
'RC,3.09
'RD,3.6733333333333333
'RE,4.006666666666667
'RF,2.9233333333333333
'RG,2.25
'RH,4.0
'RI,4.506666666666667
'RJ,4.673333333333334
'RK,4.673333333333334
'RL,4.333333333333333
'RM,4.506666666666667
'RN,4.0
'RO,4.0
'RP,4.0
'RQ,3.25
'RR,2.84
'RS,3.5833333333333335
'RT,2.5
'RU,4.34
'RV,2.506666666666667
'RW,3.25
'RX,3.0
'RY,4.0
'RZ,3.1666666666666665
'R[,3.66
'S',3.663333333333333
"'S,",4.333333333333333
'S.,4.003333333333333
'S/,4.17
'S;,4.336666666666667
'SA,3.836666666666667
'SB,3.743333333333333
'SC,3.8333333333333335
'SD,4.666666666666667
'SE,4.0
'SF,4.416666666666667
'SG,3.743333333333333
'SH,3.993333333333333
'SI,4.5
'SJ,4.666666666666667
'SK,4.666666666666667
'SL,4.336666666666667
'SM,4.5
'SN,3.993333333333333
'SO,4.003333333333333
'SP,4.003333333333333
'SQ,3.0033333333333334
'SR,4.083333333333333
'SS,2.836666666666667
'ST,3.743333333333333
'SU,4.333333333333333
'SV,4.25
'SW,2.2533333333333334
'SX,2.2533333333333334
'SY,3.993333333333333
'SZ,3.17
'S[,3.663333333333333
'T',3.33
"'T,",4.0
'T.,3.66
'T/,3.8266666666666667
'T;,3.993333333333333
'TA,3.243333333333333
'TB,1.67
'TC,2.75
'TD,3.3333333333333335
'TE,3.4166666666666665
'TF,2.5833333333333335
'TG,1.92
'TH,3.67
'TI,4.166666666666667
'TJ,4.333333333333333
'TK,4.333333333333333
'TL,3.993333333333333
'TM,4.166666666666667
'TN,3.67
'TO,3.66
'TP,3.66
'TQ,2.91
'TR,2.5
'TS,3.243333333333333
'TT,2.17
'TU,4.0
'TV,2.1666666666666665
'TW,2.91
'TX,2.66
'TY,3.67
'TZ,2.8266666666666667
'T[,3.33
'U',2.16
"'U,",2.34
'U.,2.25
'U/,2.4166666666666665
'U;,2.8333333333333335
'UA,4.083333333333333
'UB,3.75
'UC,4.09
'UD,4.423333333333334
'UE,4.256666666666667
'UF,4.423333333333334
'UG,3.75
'UH,2.0
'UI,3.256666666666667
'UJ,2.6733333333333333
'UK,2.9233333333333333
'UL,2.8333333333333335
'UM,2.256666666666667
'UN,1.75
'UO,2.5
'UP,2.5
'UQ,3.75
'UR,4.09
'US,4.083333333333333
'UT,3.75
'UU,2.59
'UV,4.256666666666667
'UW,3.75
'UX,3.75
'UY,2.25
'UZ,3.9166666666666665
'U[,2.16
'V',3.8266666666666667
"'V,",4.506666666666667
'V.,4.166666666666667
'V/,4.333333333333333
'V;,4.5
'VA,3.75
'VB,2.6666666666666665
'VC,4.006666666666667
'VD,3.84
'VE,3.4233333333333333
'VF,3.09
'VG,2.4166666666666665
'VH,4.166666666666667
