key_pair,distance_setup,distance_interval,distance_return,distance_total
IK,19.6468827043885,19.6468827043885,0.0,39.293765408777
IL,19.6468827043885,0.0,19.6468827043885,39.293765408777
IM,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
IN,19.6468827043885,21.02379604162864,40.67067874601714,81.34135749203428
IO,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IP,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IQ,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IR,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IS,19.6468827043885,0.0,19.6468827043885,39.293765408777
IT,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
IU,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IV,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
IW,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IX,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
IY,19.6468827043885,30.610455730027933,50.25733843441643,100.51467686883286
IZ,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
I[,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
J',0.0,19.0,19.0,38.0
"J,",0.0,21.470910553583888,21.470910553583888,42.941821107167776
J.,0.0,21.470910553583888,21.470910553583888,42.941821107167776
J/,0.0,21.470910553583888,21.470910553583888,42.941821107167776
J;,0.0,0.0,0.0,0.0
JA,0.0,0.0,0.0,0.0
JB,0.0,34.66987164671943,34.66987164671943,69.33974329343886
JC,0.0,21.470910553583888,21.470910553583888,42.941821107167776
JD,0.0,0.0,0.0,0.0
JE,0.0,19.6468827043885,19.6468827043885,39.293765408777
JF,0.0,0.0,0.0,0.0
JG,0.0,19.0,19.0,38.0
JH,0.0,19.0,19.0,38.0
JI,0.0,19.6468827043885,19.6468827043885,39.293765408777
JJ,0.0,0.0,0.0,0.0
JK,0.0,0.0,0.0,0.0
JL,0.0,0.0,0.0,0.0
JM,0.0,21.470910553583888,21.470910553583888,42.941821107167776
JN,0.0,21.02379604162864,21.02379604162864,42.04759208325728
JO,0.0,19.6468827043885,19.6468827043885,39.293765408777
JP,0.0,19.6468827043885,19.6468827043885,39.293765408777
JQ,0.0,19.6468827043885,19.6468827043885,39.293765408777
JR,0.0,19.6468827043885,19.6468827043885,39.293765408777
JS,0.0,0.0,0.0,0.0
JT,0.0,23.600847442411894,23.600847442411894,47.20169488482379
JU,0.0,19.6468827043885,19.6468827043885,39.293765408777
JV,0.0,21.470910553583888,21.470910553583888,42.941821107167776
JW,0.0,19.6468827043885,19.6468827043885,39.293765408777
JX,0.0,21.470910553583888,21.470910553583888,42.941821107167776
JY,0.0,30.610455730027933,30.610455730027933,61.220911460055866
JZ,0.0,21.470910553583888,21.470910553583888,42.941821107167776
