key_pair,comfort_score,distance_score,dvorak7_score,engram7_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram7_score_normalized,time_score_normalized
/Z,-0.7701,85.883642,0.714286,0.785714,1059.5,0.4866,0.636175,0.102041,0.112245,0.719853
/[,-1.411593,83.281704,0.071429,0.107143,859.5,0.058938,0.616902,0.010204,0.015306,0.425735
;',-1.108432,38.0,0.357143,0.285714,859.5,0.261045,0.281481,0.05102,0.040816,0.425735
";,",-0.881421,42.941821,0.714286,0.571429,859.5,0.412386,0.318088,0.102041,0.081633,0.425735
;.,-0.955016,42.941821,0.5,0.464286,859.5,0.363323,0.318088,0.071429,0.066327,0.425735
;/,-1.083828,42.941821,0.285714,0.321429,1059.5,0.277448,0.318088,0.040816,0.045918,0.719853
;;,-0.486375,0.0,0.428571,0.428571,859.5,0.67575,0.0,0.061224,0.061224,0.425735
;A,-0.337438,0.0,0.857143,0.857143,859.5,0.775041,0.0,0.122449,0.122449,0.425735
;B,-0.586998,69.339743,0.785714,0.785714,945.7,0.608668,0.513628,0.112245,0.112245,0.5525
;C,-0.544293,42.941821,0.857143,0.785714,859.5,0.637138,0.318088,0.122449,0.112245,0.425735
;D,-0.271775,0.0,0.928571,0.928571,865.9,0.818817,0.0,0.132653,0.132653,0.435147
;E,-0.339469,39.293765,0.857143,0.892857,871.0,0.773688,0.291065,0.122449,0.127551,0.442647
;F,-0.199284,0.0,0.928571,0.928571,904.0,0.867144,0.0,0.132653,0.132653,0.491176
;G,-0.586998,38.0,0.857143,0.785714,859.5,0.608668,0.281481,0.122449,0.112245,0.425735
;H,-1.108432,38.0,0.785714,0.642857,859.5,0.261045,0.281481,0.112245,0.091837,0.425735
;I,-0.756339,39.293765,0.714286,0.678571,871.0,0.495774,0.291065,0.102041,0.096939,0.442647
;J,-0.337438,0.0,0.857143,0.785714,904.0,0.775041,0.0,0.122449,0.112245,0.491176
;K,-0.380555,0.0,0.857143,0.785714,865.9,0.746297,0.0,0.122449,0.112245,0.435147
;L,-0.405374,0.0,0.642857,0.857143,871.0,0.729751,0.0,0.091837,0.122449,0.442647
;M,-0.725767,42.941821,0.714286,0.678571,894.1,0.516155,0.318088,0.102041,0.096939,0.476618
;N,-1.108432,42.047592,0.642857,0.571429,886.9,0.261045,0.311464,0.091837,0.081633,0.466029
;O,-0.839825,39.293765,0.5,0.464286,892.6,0.440117,0.291065,0.071429,0.066327,0.474412
;P,-1.108432,39.293765,0.285714,0.214286,859.5,0.261045,0.291065,0.040816,0.030612,0.425735
;Q,-0.527183,39.293765,0.785714,0.714286,877.9,0.648545,0.291065,0.112245,0.102041,0.452794
;R,-0.339469,39.293765,0.857143,0.785714,873.1,0.773688,0.291065,0.122449,0.112245,0.445735
;S,-0.305538,0.0,0.857143,0.857143,871.0,0.796308,0.0,0.122449,0.122449,0.442647
;T,-0.586998,47.201695,0.785714,0.785714,859.5,0.608668,0.349642,0.112245,0.112245,0.425735
;U,-0.63598,39.293765,0.714286,0.571429,873.1,0.576013,0.291065,0.102041,0.081633,0.445735
;V,-0.436359,42.941821,0.857143,0.892857,894.1,0.709094,0.318088,0.122449,0.127551,0.476618
;W,-0.440255,39.293765,0.785714,0.821429,892.6,0.706496,0.291065,0.112245,0.117347,0.474412
;X,-0.578609,42.941821,0.785714,0.821429,859.5,0.614261,0.318088,0.112245,0.117347,0.425735
;Y,-1.108432,61.220911,0.642857,0.571429,859.5,0.261045,0.453488,0.091837,0.081633,0.425735
;Z,-0.553769,42.941821,0.785714,0.821429,1059.5,0.63082,0.318088,0.112245,0.117347,0.719853
;[,-1.108432,47.201695,0.214286,0.214286,859.5,0.261045,0.349642,0.030612,0.030612,0.425735
A',-0.586998,38.0,0.785714,0.714286,859.5,0.608668,0.281481,0.112245,0.102041,0.425735
"A,",-0.544293,42.941821,0.857143,0.785714,859.5,0.637138,0.318088,0.122449,0.112245,0.425735
A.,-0.578609,42.941821,0.785714,0.821429,859.5,0.614261,0.318088,0.112245,0.117347,0.425735
A/,-0.553769,42.941821,0.785714,0.821429,1059.5,0.63082,0.318088,0.112245,0.117347,0.719853
A;,-0.337438,0.0,0.857143,0.857143,859.5,0.775041,0.0,0.122449,0.122449,0.425735
AA,-0.486375,0.0,0.428571,0.428571,859.5,0.67575,0.0,0.061224,0.061224,0.425735
AB,-1.108432,69.339743,0.642857,0.571429,802.561939,0.261045,0.513628,0.091837,0.081633,0.342003
AC,-0.881421,42.941821,0.714286,0.571429,859.5,0.412386,0.318088,0.102041,0.081633,0.425735
AD,-0.380555,0.0,0.857143,0.785714,859.5,0.746297,0.0,0.122449,0.112245,0.425735
AE,-0.756339,39.293765,0.714286,0.678571,862.9,0.495774,0.291065,0.102041,0.096939,0.430735
AF,-0.337438,0.0,0.857143,0.785714,904.0,0.775041,0.0,0.122449,0.112245,0.491176
AG,-1.108432,38.0,0.785714,0.642857,859.5,0.261045,0.281481,0.112245,0.091837,0.425735
AH,-0.586998,38.0,0.857143,0.785714,859.5,0.608668,0.281481,0.122449,0.112245,0.425735
AI,-0.339469,39.293765,0.857143,0.892857,871.0,0.773688,0.291065,0.122449,0.127551,0.442647
