layout,distance_ignore_cross_hand,distance_scorer_average_travel,distance_scorer_keystroke_count,distance_scorer_max_travel,distance_scorer_min_travel,distance_scorer_primary,distance_scorer_total_travel,distance_text_length,dvorak9_available_comfort_combinations,dvorak9_available_speed_combinations,dvorak9_ignore_cross_hand,dvorak9_scorer_columns,dvorak9_scorer_comfort_weighted_score,dvorak9_scorer_dont_cross_home,dvorak9_scorer_fingers,dvorak9_scorer_frequency_weighted_score,dvorak9_scorer_hands,dvorak9_scorer_home_row,dvorak9_scorer_primary,dvorak9_scorer_pure_dvorak_score,dvorak9_scorer_same_row,dvorak9_scorer_skip_fingers,dvorak9_scorer_speed_weighted_score,dvorak9_scorer_strong_fingers,dvorak9_scorer_strum,dvorak9_theoretical_maximum,engram_alphabet_coverage_24key,engram_alphabet_coverage_32key,engram_home_block_coverage,engram_ignore_cross_hand,engram_layout_size_24key,engram_layout_size_32key,engram_scorer_item_component,engram_scorer_item_component_24key,engram_scorer_item_component_32key,engram_scorer_item_pair_component,engram_scorer_item_pair_component_24key,engram_scorer_item_pair_component_32key,engram_scorer_primary,engram_scorer_total_score_24key,engram_scorer_total_score_32key
layout11_common,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.801794,0.136884,0.956586,0.873327,0.660073,0.518818,0.496016,0.101192,0.608869,0.360177,0.647295,0.101192,0.571240,0.715407,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089566,0.110891,0.089566,0.084741,0.102874,0.084741,0.007590,0.011408,0.007590
layout12,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.787745,0.135983,0.946371,0.873694,0.655729,0.504010,0.481966,0.100526,0.608869,0.366605,0.645041,0.100526,0.585290,0.710844,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089129,0.110350,0.089129,0.083127,0.097152,0.083127,0.007409,0.010721,0.007409
layout120,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.793306,0.141578,0.955223,0.893057,0.682712,0.556761,0.489976,0.104663,0.609699,0.399829,0.694358,0.104663,0.609354,0.752548,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089093,0.110306,0.089093,0.084446,0.102173,0.084446,0.007524,0.011270,0.007524
layout120_common,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.793306,0.141578,0.955223,0.893057,0.682712,0.556761,0.489976,0.104663,0.609699,0.399829,0.694358,0.104663,0.609354,0.752548,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089093,0.110306,0.089093,0.084446,0.102173,0.084446,0.007524,0.011270,0.007524
layout122,0.000000,12.023559,5.000000,21.470911,0.000000,0.988119,60.117793,5.000000,405.000000,512.000000,0.000000,0.802937,0.143200,0.958145,0.900620,0.690533,0.573422,0.496259,0.105862,0.609865,0.416916,0.703461,0.105862,0.594479,0.768555,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.090710,0.112307,0.090710,0.086255,0.105252,0.086255,0.007824,0.011821,0.007824
layout122_common,0.000000,12.023559,5.000000,21.470911,0.000000,0.988119,60.117793,5.000000,405.000000,512.000000,0.000000,0.802937,0.143200,0.958145,0.900620,0.690533,0.573422,0.496259,0.105862,0.609865,0.416916,0.703461,0.105862,0.594479,0.768555,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.090710,0.112307,0.090710,0.086255,0.105252,0.086255,0.007824,0.011821,0.007824
layout123,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.800313,0.141779,0.951868,0.895435,0.683680,0.560982,0.492623,0.104811,0.608869,0.392117,0.696835,0.104811,0.609354,0.753591,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089054,0.110257,0.089054,0.086653,0.106928,0.086653,0.007717,0.011790,0.007717
layout123_common,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.800313,0.141779,0.951868,0.895435,0.683680,0.560982,0.492623,0.104811,0.608869,0.392117,0.696835,0.104811,0.609354,0.753591,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089054,0.110257,0.089054,0.086653,0.106928,0.086653,0.007717,0.011790,0.007717
layout126,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141362,0.954465,0.899700,0.681669,0.559002,0.492623,0.104503,0.608869,0.385072,0.706362,0.104503,0.594544,0.756489,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088727,0.109852,0.088727,0.086761,0.104105,0.086761,0.007698,0.011436,0.007698
layout126_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141362,0.954465,0.899700,0.681669,0.559002,0.492623,0.104503,0.608869,0.385072,0.706362,0.104503,0.594544,0.756489,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088727,0.109852,0.088727,0.086761,0.104105,0.086761,0.007698,0.011436,0.007698
