combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
skip_fingers + same_row + home_row + columns + strum + strong_fingers,6,0.29050581169235334,2.3946003969571927e-13,0.29050581169235334,True,9.948299210122972e-13,True
skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,6,0.29016536102811735,2.560198921448573e-13,0.29016536102811735,True,1.0518141810865914e-12,True
hands + fingers + dont_cross_home + home_row + columns,5,0.2901400859121114,2.5729309713468476e-13,0.2901400859121114,True,1.0518141810865914e-12,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns,6,0.2896026995798304,2.8587976331774725e-13,0.2896026995798304,True,1.1594012623441972e-12,True
fingers + skip_fingers + same_row + home_row + columns,5,0.28870068304736046,3.410092362928958e-13,0.28870068304736046,True,1.3720922814619666e-12,True
dont_cross_home + strong_fingers,2,0.2883471890539515,3.6534546413655075e-13,0.2883471890539515,True,1.4585275951076363e-12,True
skip_fingers + dont_cross_home + same_row + columns + strum,5,0.28803414632071356,3.8831162761150317e-13,0.28803414632071356,True,1.5381956721664972e-12,True
fingers + dont_cross_home,2,0.2863342576504415,5.399831335585813e-13,0.2863342576504415,True,2.1225490865264237e-12,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,0.28387557409824443,8.665437752974595e-13,0.28387557409824443,True,3.380182207458029e-12,True
dont_cross_home + same_row + strum + strong_fingers,4,0.28374457888132576,8.885418118107806e-13,0.28374457888132576,True,3.4397338320856737e-12,True
dont_cross_home + home_row + strum,3,0.28359978181633116,9.134939742075192e-13,0.28359978181633116,True,3.509740006165732e-12,True
skip_fingers + dont_cross_home + home_row + columns + strum,5,0.28097026989007773,1.5063209354572235e-12,0.28097026989007773,True,5.744253716557024e-12,True
hands + dont_cross_home + same_row + columns + strum + strong_fingers,6,0.2808562792471121,1.5391531676856118e-12,0.2808562792471121,True,5.825979768054427e-12,True
hands + same_row + home_row + columns + strum + strong_fingers,6,0.2798322813044459,1.8672835230522e-12,0.2798322813044459,True,7.016043237350546e-12,True
skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,5,0.27858221236268466,2.3615531980977467e-12,0.27858221236268466,True,8.808421052758749e-12,True
skip_fingers + same_row + home_row + columns + strum,5,0.2785022276609306,2.397208213018612e-12,0.2785022276609306,True,8.876618817771818e-12,True
home_row + strong_fingers,2,0.2783477340658101,2.467574561543319e-12,0.2783477340658101,True,9.071443172292346e-12,True
